timestamp,qi,sr,tii,arf,meanRho,netLearning,pThreat,totalOrphans,actionsReallocate,actionsRecluster,actionsDoNothing,cycleS1,cycleS2,anomalies,qDoNothing,qReallocate,qRecluster,suspectsCount,actionsAttackerQuarantine,actionsAttackerDoNothing,qAtkDNHigh,qAtkQuarHigh,qAtkDNLow,qAtkQuarLow,atkEpsilon,smartTransferOk,smartTransferNoDonor,smartRedundancyOk,leadersAlive,leadersDownThisCycle,apIncomingFloodTotal,apQuarantinedLeadersCount,forcedReelectionsThisCycle,apAlive
170,0.992847,0.99,0.381982,0.00699816,0.395176,0.699816,0.278548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.99066,0,0,0.0659069,0,0,0,20,0,0,0,0,1
175,0.992847,0.99,0.38272,0.00701706,0.391115,0.701706,0.282676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.99066,0,0,0.0659069,0,0,0,20,0,0,0,0,1
180,0.992847,0.99,0.383583,0.00703596,0.389497,0.703596,0.284319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.99066,0,0,0.0659069,0,0,0,20,0,0,0,0,1
185,0.992847,0.99,0.384504,0.00705486,0.389019,0.705486,0.284801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.99066,0,0,0.0659069,0,0,0,20,0,0,0,0,1
190,0.992847,0.99,0.385454,0.00707376,0.389117,0.707376,0.284698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.99066,0,0,0.0659069,0,0,0,20,0,0,0,0,1
195,0.992847,0.99,0.386421,0.00709266,0.389532,0.709266,0.284273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.99066,0,0,0.0659069,0,0,0,20,0,0,0,0,1
200,0.992847,0.99,0.387396,0.00711156,0.390135,0.711156,0.283656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.99066,0,0,0.0659069,0,0,0,20,0,0,0,0,1
205,0.992861,0.99,0.388378,0.00713046,0.390888,0.713046,0.282915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.99066,0,0,0.0659069,0,0,0,20,0,0,0,0,1
210,0.992848,0.99,0.389365,0.00714936,0.391669,0.714936,0.282088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.99066,0,0,0.0659069,0,0,0,20,0,0,0,0,1
215,0.992847,0.99,0.390354,0.00716826,0.392537,0.716826,0.2812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.99066,0,0,0.0659069,0,0,0,20,0,0,0,0,1
