timestamp,qi,sr,tii,arf,meanRho,netLearning,pThreat,totalOrphans,actionsReallocate,actionsRecluster,actionsDoNothing,cycleS1,cycleS2,anomalies,qDoNothing,qReallocate,qRecluster,suspectsCount,actionsAttackerQuarantine,actionsAttackerDoNothing,qAtkDNHigh,qAtkQuarHigh,qAtkDNLow,qAtkQuarLow,atkEpsilon,smartTransferOk,smartTransferNoDonor,smartRedundancyOk,leadersAlive,leadersDownThisCycle,apIncomingFloodTotal,apQuarantinedLeadersCount,forcedReelectionsThisCycle,apAlive
170,0.994998,0.995,0.366892,0.00513005,0.528402,0.684006,0.294632,0,0,0,0,0,0,0,0,31.1361,8.21193,0,0,0,0,8.14265,0,0,0.0815691,0,0,0,15,0,0,0,0,1
175,0.994997,0.995,0.367633,0.00514467,0.522198,0.685956,0.300868,0,0,0,0,0,0,0,0,31.1361,8.21193,0,0,0,0,8.14265,0,0,0.0815691,0,0,0,15,0,0,0,0,1
180,0.994998,0.995,0.36847,0.0051593,0.518556,0.687906,0.304536,0,0,0,0,0,0,0,0,31.1361,8.21193,0,0,0,0,8.14265,0,0,0.0815691,0,0,0,15,0,0,0,0,1
185,0.994997,0.995,0.369358,0.00517392,0.516235,0.689856,0.306873,0,0,0,0,0,0,0,0,31.1361,8.21193,0,0,0,0,8.14265,0,0,0.0815691,0,0,0,15,0,0,0,0,1
190,0.994997,0.995,0.370276,0.00518855,0.51474,0.691806,0.308377,0,0,0,0,0,0,0,0,31.1361,8.21193,0,0,0,0,8.14265,0,0,0.0815691,0,0,0,15,0,0,0,0,1
195,0.994997,0.995,0.371217,0.00520317,0.513829,0.693756,0.309292,0,0,0,0,0,0,0,0,31.1361,8.21193,0,0,0,0,8.14265,0,0,0.0815691,0,0,0,15,0,0,0,0,1
200,0.994997,0.995,0.372174,0.0052178,0.513358,0.695706,0.309762,0,0,0,0,0,0,0,0,31.1361,8.21193,0,0,0,0,8.14265,0,0,0.0815691,0,0,0,15,0,0,0,0,1
205,0.995008,0.995,0.373145,0.00523242,0.513259,0.697656,0.309885,0,0,0,0,0,0,0,0,31.1361,8.21193,0,0,0,0,8.14265,0,0,0.0815691,0,0,0,15,0,0,0,0,1
210,0.994999,0.995,0.374125,0.00524705,0.513378,0.699606,0.309734,0,0,0,0,0,0,0,0,31.1361,8.21193,0,0,0,0,8.14265,0,0,0.0815691,0,0,0,15,0,0,0,0,1
215,0.994998,0.995,0.375114,0.00526167,0.513734,0.701556,0.309364,0,0,0,0,0,0,0,0,31.1361,8.21193,0,0,0,0,8.14265,0,0,0.0815691,0,0,0,15,0,0,0,0,1
220,0.994997,0.995,0.37611,0.0052763,0.514267,0.703506,0.308816,0,0,0,0,0,0,0,0,31.1361,8.21193,0,0,0,0,8.14265,0,0,0.0815691,0,0,0,15,0,0,0,0,1
225,0.994997,0.995,0.377111,0.00529092,0.514945,0.705456,0.308124,0,0,0,0,0,0,0,0,31.1361,8.21193,0,0,0,0,8.14265,0,0,0.0815691,0,0,0,15,0,0,0,0,1
230,0.994997,0.995,0.378116,0.00530555,0.515739,0.707406,0.307313,0,0,0,0,0,0,0,0,31.1361,8.21193,0,0,0,0,8.14265,0,0,0.0815691,0,0,0,15,0,0,0,0,1
235,0.995002,0.995,0.379125,0.00532017,0.516643,0.709356,0.306404,0,0,0,0,0,0,0,0,31.1361,8.21193,0,0,0,0,8.14265,0,0,0.0815691,0,0,0,15,0,0,0,0,1
240,0.994997,0.995,0.380137,0.0053348,0.517604,0.711306,0.305414,0,0,0,0,0,0,0,0,31.1361,8.21193,0,0,0,0,8.14265,0,0,0.0815691,0,0,0,15,0,0,0,0,1
245,0.994998,0.995,0.381152,0.00534942,0.518644,0.713256,0.304355,0,0,0,0,0,0,0,0,31.1361,8.21193,0,0,0,0,8.14265,0,0,0.0815691,0,0,0,15,0,0,0,0,1
250,0.994997,0.995,0.382169,0.00536405,0.519738,0.715206,0.303239,0,0,0,0,0,0,0,0,31.1361,8.21193,0,0,0,0,8.14265,0,0,0.0815691,0,0,0,15,0,0,0,0,1
255,0.994997,0.995,0.383188,0.00537867,0.520882,0.717156,0.302074,0,0,0,0,0,0,0,0,31.1361,8.21193,0,0,0,0,8.14265,0,0,0.0815691,0,0,0,15,0,0,0,0,1
260,0.994997,0.995,0.384208,0.0053933,0.522067,0.719106,0.300868,0,0,0,0,0,0,0,0,31.1361,8.21193,0,0,0,0,8.14265,0,0,0.0815691,0,0,0,15,0,0,0,0,1
265,0.994998,0.995,0.38523,0.00540792,0.523287,0.721056,0.299626,0,0,0,0,0,0,0,0,31.1361,8.21193,0,0,0,0,8.14265,0,0,0.0815691,0,0,0,15,0,0,0,0,1
270,0.994997,0.995,0.386252,0.00542255,0.524535,0.723006,0.298355,0,0,0,0,0,0,0,0,31.1361,8.21193,0,0,0,0,8.14265,0,0,0.0815691,0,0,0,15,0,0,0,0,1
275,0.994998,0.995,0.387276,0.00543717,0.52581,0.724956,0.297057,0,0,0,0,0,0,0,0,31.1361,8.21193,0,0,0,0,8.14265,0,0,0.0815691,0,0,0,15,0,0,0,0,1
280,0.99501,0.995,0.3883,0.0054518,0.527139,0.726906,0.295738,0,0,0,0,0,0,0,0,31.1361,8.21193,0,0,0,0,8.14265,0,0,0.0815691,0,0,0,15,0,0,0,0,1
285,0.994999,0.995,0.389326,0.00546642,0.528426,0.728856,0.2944,0,0,0,0,0,0,0,0,31.1361,8.21193,0,0,0,0,8.14265,0,0,0.0815691,0,0,0,15,0,0,0,0,1
290,0.994997,0.995,0.390351,0.00548105,0.529751,0.730806,0.293044,0,0,0,0,0,0,0,0,31.1361,8.21193,0,0,0,0,8.14265,0,0,0.0815691,0,0,0,15,0,0,0,0,1
295,0.994997,0.995,0.391378,0.00549567,0.531095,0.732756,0.291675,0,0,0,0,0,0,0,0,31.1361,8.21193,0,0,0,0,8.14265,0,0,0.0815691,0,0,0,15,0,0,0,0,1
300,0.994997,0.995,0.392405,0.0055103,0.532454,0.734706,0.290293,0,0,0,0,0,0,0,0,31.1361,8.21193,0,0,0,0,8.14265,0,0,0.0815691,0,0,0,15,0,0,0,0,1
305,0.699026,0.575,0.228546,0.00551862,0.435415,0.735816,0.29748,79,79,0,0,79,0,0,0,31.1361,8.21193,5,5,0,0,8.14265,0,0,0.079122,0,0,0,10,0,191,5,0,1
