series,run,sr_pre,sr_min,sr_final,qi_final,atk_qquar,atk_epsilon
DET(FR),13,0.995,0.67,0.93,0.86868,13.4309,0.0327097
DET(FR),14,0.99,0.8,0.945,0.90522,12.7447,0.0289577
DET(FR),15,0.995,0.85,0.975,0.953337,15.3331,0.024867
DET(FR),16,0.975,0.735,0.93,0.866366,12.8462,0.0207135
DET(FR),17,0.99,0.69,0.925,0.921589,12.7447,0.02
DET(FR),18,0.995,0.835,0.945,0.89255,15.6164,0.02
DET(FR),19,0.975,0.83,0.96,0.963513,12.3005,0.02
DET(FR),20,0.995,0.74,0.955,0.905848,12.1958,0.02
DET(FR),21,0.99,0.765,0.94,0.870285,12.1958,0.02
DET(FR),22,0.975,0.795,0.96,0.933084,12.1958,0.02
DET(FR),23,0.99,0.64,0.97,0.956492,11.7566,0.02
DET(FR),24,0.985,0.705,0.95,0.919909,13.1922,0.02
DET(FR),25,0.995,0.805,0.93,0.883311,12.4651,0.02
DET(FR),26,0.97,0.75,0.94,0.899347,11.4053,0.02
DET(FR),27,0.975,0.57,0.925,0.866632,11.4053,0.02
DET(FR),28,1.0,0.655,0.95,0.876182,11.4053,0.02
DET(FR),29,0.995,0.85,0.99,0.974888,11.4053,0.02
DET(FR),30,0.955,0.785,0.925,0.919719,11.441,0.02
DET(FR),31,0.985,0.755,0.945,0.898159,11.6446,0.02
DET(FR),32,1.0,0.68,0.925,0.814236,10.8994,0.02
DET(FR),33,0.96,0.755,0.93,0.8805,10.7195,0.02
DET(FR),34,0.945,0.645,0.92,0.899446,11.1292,0.02
DET(FR),35,0.935,0.79,0.93,0.955382,11.8933,0.02
QL(250),1,0.988,0.74,0.976,0.956075,0.0,0.132794
QL(250),2,0.996,0.744,0.984,0.970828,0.0,0.121197
QL(250),3,0.996,0.696,0.98,0.97491,0.0,0.107295
QL(250),4,0.996,0.62,0.98,0.971145,0.0,0.0949875
QL(250),5,0.988,0.52,0.968,0.943328,0.0,0.0866925
QL(250),6,0.896,0.7,0.884,0.947774,0.0,0.0791219
QL(250),7,1.0,0.58,0.98,0.965866,0.0,0.0722124
QL(250),8,0.992,0.804,0.98,0.974269,0.0,0.0659063
QL(250),9,0.972,0.628,0.968,0.93459,0.0,0.056596
