state,action,qvalue
0,0,83.9938
0,1,99.0997
0,2,100
1,0,0
1,1,33.7606
1,2,0
2,0,64.8326
2,1,91.2869
2,2,85.4709
3,0,0
3,1,13.6197
3,2,7.08678
epsilon,0.02,0
