timestamp,qi,sr,tii,arf,meanRho,netLearning,pThreat,totalOrphans,actionsReallocate,actionsRecluster,actionsDoNothing,cycleS1,cycleS2,anomalies,qDoNothing,qReallocate,qRecluster,suspectsCount,actionsAttackerQuarantine,actionsAttackerDoNothing,qAtkDNHigh,qAtkQuarHigh,qAtkDNLow,qAtkQuarLow,atkEpsilon,smartTransferOk,smartTransferNoDonor,smartRedundancyOk,leadersAlive,leadersDownThisCycle,apIncomingFloodTotal,apQuarantinedLeadersCount,forcedReelectionsThisCycle,apAlive
170,0.991647,0.983333,0.37777,0.00547794,0.339692,0.714514,0.31193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,23,0,0,0,0,1
175,0.991648,0.983333,0.378694,0.00549241,0.339186,0.716401,0.312446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,23,0,0,0,0,1
180,0.991648,0.983333,0.379645,0.00550687,0.339367,0.718288,0.312257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,23,0,0,0,0,1
185,0.991648,0.983333,0.380608,0.00552134,0.339887,0.720174,0.311723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,23,0,0,0,0,1
190,0.991648,0.983333,0.381579,0.0055358,0.34058,0.722061,0.311015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,23,0,0,0,0,1
195,0.991648,0.983333,0.382553,0.00555027,0.341363,0.723948,0.310215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,23,0,0,0,0,1
200,0.991648,0.983333,0.383529,0.00556473,0.3422,0.725834,0.309361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,23,0,0,0,0,1
205,0.991665,0.983333,0.384506,0.00557919,0.343099,0.727721,0.308475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,23,0,0,0,0,1
210,0.991648,0.983333,0.385484,0.00559366,0.343962,0.729608,0.307567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,23,0,0,0,0,1
215,0.991648,0.983333,0.386463,0.00560812,0.344868,0.731494,0.306644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,23,0,0,0,0,1
220,0.991647,0.983333,0.387442,0.00562259,0.345785,0.733381,0.30571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,23,0,0,0,0,1
225,0.991648,0.983333,0.388422,0.00563705,0.346711,0.735268,0.304769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,23,0,0,0,0,1
230,0.991648,0.983333,0.389401,0.00565152,0.347642,0.737154,0.303823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,23,0,0,0,0,1
235,0.991649,0.983333,0.390381,0.00566598,0.348576,0.739041,0.302873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,23,0,0,0,0,1
240,0.991648,0.983333,0.391361,0.00568045,0.349511,0.740928,0.301921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,23,0,0,0,0,1
245,0.991648,0.983333,0.392341,0.00569491,0.350449,0.742814,0.300967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,23,0,0,0,0,1
250,0.991648,0.983333,0.393321,0.00570937,0.351386,0.744701,0.300012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,23,0,0,0,0,1
255,0.991648,0.983333,0.394301,0.00572384,0.352326,0.746588,0.299057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,23,0,0,0,0,1
260,0.991649,0.983333,0.395281,0.0057383,0.353267,0.748474,0.298101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,23,0,0,0,0,1
265,0.991648,0.983333,0.396261,0.00575277,0.354207,0.750361,0.297144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,23,0,0,0,0,1
270,0.991666,0.983333,0.397241,0.00576723,0.35518,0.752248,0.296188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,23,0,0,0,0,1
275,0.991648,0.983333,0.398221,0.0057817,0.356088,0.754134,0.295231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,23,0,0,0,0,1
280,0.991648,0.983333,0.399201,0.00579616,0.357029,0.756021,0.294275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,23,0,0,0,0,1
285,0.991648,0.983333,0.400181,0.00581063,0.35797,0.757908,0.293318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,23,0,0,0,0,1
290,0.991648,0.983333,0.401161,0.00582509,0.358909,0.759794,0.292361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,23,0,0,0,0,1
295,0.991648,0.983333,0.402141,0.00583955,0.35985,0.761681,0.291405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,23,0,0,0,0,1
300,0.991648,0.983333,0.403121,0.00585402,0.360791,0.763568,0.290448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,23,0,0,0,0,1
