series,runs,sr_pre,sr_min,sr_final,qi_final,leaders_down,orphans_peak,quar_per_run
N=200,35,0.9844285714285714,0.8400000000000001,0.9675714285714286,0.9796400571428572,1.7142857142857142,25.942857142857143,3.9714285714285715
N=250,33,0.9833939393939394,0.8353939393939395,0.9693333333333332,0.9800653333333335,1.8484848484848484,34.03030303030303,3.727272727272727
FR (N=200),35,0.9831428571428572,0.7405714285714287,0.9448571428571428,0.9055221428571428,5.314285714285714,42.51428571428571,5.114285714285714
