state,action,qvalue
0,0,79.2057
0,1,95.3414
0,2,85.4896
1,0,0
1,1,7.6207
1,2,0
2,0,8.99998
2,1,61.8381
2,2,3.8758
3,0,-1
3,1,1.82574
3,2,0
epsilon,0.0949875,0
