state,action,qvalue
0,0,84.4007
0,1,99.3074
0,2,100
1,0,0
1,1,24.3932
1,2,0
2,0,53.0724
2,1,90.998
2,2,60.2698
3,0,-1
3,1,10.4211
3,2,0
epsilon,0.0307766,0
