state,action,qvalue
0,0,82.0165
0,1,97.7869
0,2,99.9904
1,0,0
1,1,26.8776
1,2,0
2,0,57.9002
2,1,91.2765
2,2,81.7103
3,0,0
3,1,10.4549
3,2,7.08678
epsilon,0.02,0
