timestamp,qi,sr,tii,arf,meanRho,netLearning,pThreat,totalOrphans,actionsReallocate,actionsRecluster,actionsDoNothing,cycleS1,cycleS2,anomalies,qDoNothing,qReallocate,qRecluster,suspectsCount,actionsAttackerQuarantine,actionsAttackerDoNothing,qAtkDNHigh,qAtkQuarHigh,qAtkDNLow,qAtkQuarLow,atkEpsilon,smartTransferOk,smartTransferNoDonor,smartRedundancyOk,leadersAlive,leadersDownThisCycle,apIncomingFloodTotal,apQuarantinedLeadersCount,forcedReelectionsThisCycle,apAlive
170,0.993939,0.995,0.384743,0.00732814,0.372733,0.697918,0.284191,0,0,0,0,0,0,0,0,31.45,8.21193,0,0,0,0,8.14252,0,0,0.0620113,0,0,0,21,0,0,0,0,1
175,0.993934,0.995,0.385566,0.00734798,0.370433,0.699808,0.28652,0,0,0,0,0,0,0,0,31.45,8.21193,0,0,0,0,8.14252,0,0,0.0620113,0,0,0,21,0,0,0,0,1
180,0.993932,0.995,0.386467,0.00736783,0.369585,0.701698,0.287367,0,0,0,0,0,0,0,0,31.45,8.21193,0,0,0,0,8.14252,0,0,0.0620113,0,0,0,21,0,0,0,0,1
185,0.993932,0.995,0.387401,0.00738767,0.369374,0.703588,0.287567,0,0,0,0,0,0,0,0,31.45,8.21193,0,0,0,0,8.14252,0,0,0.0620113,0,0,0,21,0,0,0,0,1
190,0.993933,0.995,0.388352,0.00740752,0.369478,0.705478,0.287447,0,0,0,0,0,0,0,0,31.45,8.21193,0,0,0,0,8.14252,0,0,0.0620113,0,0,0,21,0,0,0,0,1
195,0.993932,0.995,0.389314,0.00742736,0.369765,0.707368,0.287141,0,0,0,0,0,0,0,0,31.45,8.21193,0,0,0,0,8.14252,0,0,0.0620113,0,0,0,21,0,0,0,0,1
200,0.993933,0.995,0.390282,0.00744721,0.370185,0.709258,0.286703,0,0,0,0,0,0,0,0,31.45,8.21193,0,0,0,0,8.14252,0,0,0.0620113,0,0,0,21,0,0,0,0,1
205,0.993944,0.995,0.391255,0.00746705,0.370728,0.711148,0.286162,0,0,0,0,0,0,0,0,31.45,8.21193,0,0,0,0,8.14252,0,0,0.0620113,0,0,0,21,0,0,0,0,1
210,0.993936,0.995,0.392233,0.0074869,0.371318,0.713038,0.285536,0,0,0,0,0,0,0,0,31.45,8.21193,0,0,0,0,8.14252,0,0,0.0620113,0,0,0,21,0,0,0,0,1
215,0.993934,0.995,0.393214,0.00750674,0.371992,0.714928,0.284838,0,0,0,0,0,0,0,0,31.45,8.21193,0,0,0,0,8.14252,0,0,0.0620113,0,0,0,21,0,0,0,0,1
220,0.993933,0.995,0.394199,0.00752659,0.372729,0.716818,0.284079,0,0,0,0,0,0,0,0,31.45,8.21193,0,0,0,0,8.14252,0,0,0.0620113,0,0,0,21,0,0,0,0,1
225,0.993932,0.995,0.395187,0.00754643,0.373517,0.718708,0.283269,0,0,0,0,0,0,0,0,31.45,8.21193,0,0,0,0,8.14252,0,0,0.0620113,0,0,0,21,0,0,0,0,1
230,0.993932,0.995,0.396177,0.00756628,0.374349,0.720598,0.282416,0,0,0,0,0,0,0,0,31.45,8.21193,0,0,0,0,8.14252,0,0,0.0620113,0,0,0,21,0,0,0,0,1
235,0.993177,0.995,0.397168,0.00758612,0.373901,0.722488,0.281528,0,0,0,0,0,0,0,0,31.45,8.21193,0,0,0,0,8.14252,0,0,0.0620113,0,0,0,21,0,0,0,0,1
240,0.99395,0.995,0.398161,0.00760597,0.376146,0.724378,0.28061,0,0,0,0,0,0,0,0,31.45,8.21193,0,0,0,0,8.14252,0,0,0.0620113,0,0,0,21,0,0,0,0,1
245,0.993933,0.995,0.399156,0.00762581,0.377031,0.726268,0.279668,0,0,0,0,0,0,0,0,31.45,8.21193,0,0,0,0,8.14252,0,0,0.0620113,0,0,0,21,0,0,0,0,1
250,0.993932,0.995,0.400151,0.00764566,0.377969,0.728158,0.278707,0,0,0,0,0,0,0,0,31.45,8.21193,0,0,0,0,8.14252,0,0,0.0620113,0,0,0,21,0,0,0,0,1
255,0.993932,0.995,0.401148,0.0076655,0.378923,0.730048,0.27773,0,0,0,0,0,0,0,0,31.45,8.21193,0,0,0,0,8.14252,0,0,0.0620113,0,0,0,21,0,0,0,0,1
260,0.993933,0.995,0.402145,0.00768535,0.379893,0.731938,0.276739,0,0,0,0,0,0,0,0,31.45,8.21193,0,0,0,0,8.14252,0,0,0.0620113,0,0,0,21,0,0,0,0,1
265,0.993932,0.995,0.403142,0.00770519,0.380869,0.733828,0.275738,0,0,0,0,0,0,0,0,31.45,8.21193,0,0,0,0,8.14252,0,0,0.0620113,0,0,0,21,0,0,0,0,1
270,0.993945,0.995,0.40414,0.00772504,0.38188,0.735718,0.274728,0,0,0,0,0,0,0,0,31.45,8.21193,0,0,0,0,8.14252,0,0,0.0620113,0,0,0,21,0,0,0,0,1
275,0.993932,0.995,0.405139,0.00774488,0.382848,0.737608,0.273711,0,0,0,0,0,0,0,0,31.45,8.21193,0,0,0,0,8.14252,0,0,0.0620113,0,0,0,21,0,0,0,0,1
280,0.993933,0.995,0.406137,0.00776473,0.383849,0.739498,0.272688,0,0,0,0,0,0,0,0,31.45,8.21193,0,0,0,0,8.14252,0,0,0.0620113,0,0,0,21,0,0,0,0,1
285,0.993933,0.995,0.407136,0.00778457,0.384853,0.741388,0.27166,0,0,0,0,0,0,0,0,31.45,8.21193,0,0,0,0,8.14252,0,0,0.0620113,0,0,0,21,0,0,0,0,1
290,0.993932,0.995,0.408135,0.00780442,0.38586,0.743278,0.270629,0,0,0,0,0,0,0,0,31.45,8.21193,0,0,0,0,8.14252,0,0,0.0620113,0,0,0,21,0,0,0,0,1
295,0.993933,0.995,0.409135,0.00782426,0.386872,0.745168,0.269595,0,0,0,0,0,0,0,0,31.45,8.21193,0,0,0,0,8.14252,0,0,0.0620113,0,0,0,21,0,0,0,0,1
300,0.993933,0.995,0.410134,0.00784411,0.387885,0.747058,0.268558,0,0,0,0,0,0,0,0,31.45,8.21193,0,0,0,0,8.14252,0,0,0.0620113,0,0,0,21,0,0,0,0,1
305,0.77393,0.67,0.283501,0.00785744,0.412766,0.748328,0.250084,60,60,0,0,60,0,0,0,31.45,8.21193,5,5,0,0,2.15438,0,0,0.0583464,0,0,0,16,0,187,5,0,1
310,0.984625,0.97,0.395053,0.00787718,0.462568,0.750208,0.245178,0,0,0,0,0,0,0,0,31.036,8.21193,0,0,0,0,3.7235,0,0,0.0583464,0,0,0,16,0,0,5,0,1
315,0.981779,0.97,0.39601,0.00789692,0.456724,0.752088,0.244742,0,0,0,0,0,0,0,0,31.036,8.21193,0,0,0,0,3.7235,0,0,0.0583464,0,0,0,16,0,0,5,0,1
320,0.979207,0.97,0.397007,0.00791666,0.452091,0.753968,0.243321,0,0,0,0,0,0,0,0,31.036,8.21193,0,0,0,0,3.7235,0,0,0.0583464,0,0,0,16,0,0,5,0,1
325,0.979205,0.97,0.397995,0.0079364,0.452846,0.755848,0.242115,0,0,0,0,0,0,0,0,31.036,8.21193,0,0,0,0,3.7235,0,0,0.0583464,0,0,0,16,0,0,5,0,1
330,0.980018,0.97,0.398985,0.00795614,0.456313,0.757728,0.24086,0,0,0,0,0,0,0,0,31.036,8.21193,0,0,0,0,3.7235,0,0,0.0583464,0,0,0,16,0,0,5,0,1
