state,action,qvalue
0,0,84.6702
0,1,99.2638
0,2,100
1,0,0
1,1,40.1248
1,2,0
2,0,67.2977
2,1,91.287
2,2,86.8084
3,0,0
3,1,16.6953
3,2,7.08678
epsilon,0.02,0
