run,attack_start,n_attackers
1,499,10
2,600,20
3,260,9
4,693,5
5,690,13
6,525,16
7,537,8
8,388,11
9,338,12
10,216,7
11,485,15
12,472,10
13,362,10
14,322,13
15,461,12
16,626,19
17,646,6
18,421,9
19,395,19
20,353,12
21,273,5
23,281,19
24,337,11
25,584,19
26,338,9
27,619,13
28,222,17
29,642,19
30,275,15
31,223,19
32,664,10
33,526,6
34,454,9
35,243,5
