timestamp,qi,sr,tii,arf,meanRho,netLearning,pThreat,totalOrphans,actionsReallocate,actionsRecluster,actionsDoNothing,cycleS1,cycleS2,anomalies,qDoNothing,qReallocate,qRecluster,suspectsCount,actionsAttackerQuarantine,actionsAttackerDoNothing,qAtkDNHigh,qAtkQuarHigh,qAtkDNLow,qAtkQuarLow,atkEpsilon,smartTransferOk,smartTransferNoDonor,smartRedundancyOk,leadersAlive,leadersDownThisCycle,apIncomingFloodTotal,apQuarantinedLeadersCount,forcedReelectionsThisCycle,apAlive
170,0.987969,0.975,0.371552,0.00627386,0.470981,0.697096,0.28822,0,0,0,0,0,0,0,0,31.7308,0,0,0,0,0,9.27613,0,0,0.12881,0,0,0,18,0,0,0,0,1
175,0.987968,0.975,0.372342,0.00629087,0.467565,0.698986,0.291673,0,0,0,0,0,0,0,0,31.7308,0,0,0,0,0,9.27613,0,0,0.12881,0,0,0,18,0,0,0,0,1
180,0.987968,0.975,0.373252,0.00630788,0.466787,0.700876,0.292451,0,0,0,0,0,0,0,0,31.7308,0,0,0,0,0,9.27613,0,0,0.12881,0,0,0,18,0,0,0,0,1
185,0.987968,0.975,0.374207,0.00632489,0.466987,0.702766,0.29224,0,0,0,0,0,0,0,0,31.7308,0,0,0,0,0,9.27613,0,0,0.12881,0,0,0,18,0,0,0,0,1
190,0.987968,0.975,0.375178,0.0063419,0.467567,0.704656,0.291644,0,0,0,0,0,0,0,0,31.7308,0,0,0,0,0,9.27613,0,0,0.12881,0,0,0,18,0,0,0,0,1
195,0.987969,0.975,0.376157,0.00635891,0.468309,0.706546,0.290885,0,0,0,0,0,0,0,0,31.7308,0,0,0,0,0,9.27613,0,0,0.12881,0,0,0,18,0,0,0,0,1
200,0.987968,0.975,0.37714,0.00637592,0.469124,0.708436,0.290051,0,0,0,0,0,0,0,0,31.7308,0,0,0,0,0,9.27613,0,0,0.12881,0,0,0,18,0,0,0,0,1
205,0.987978,0.975,0.378125,0.00639293,0.470007,0.710326,0.289173,0,0,0,0,0,0,0,0,31.7308,0,0,0,0,0,9.27613,0,0,0.12881,0,0,0,18,0,0,0,0,1
210,0.987972,0.975,0.37911,0.00640994,0.470885,0.712216,0.288263,0,0,0,0,0,0,0,0,31.7308,0,0,0,0,0,9.27613,0,0,0.12881,0,0,0,18,0,0,0,0,1
215,0.987968,0.975,0.380098,0.00642695,0.471792,0.714106,0.287327,0,0,0,0,0,0,0,0,31.7308,0,0,0,0,0,9.27613,0,0,0.12881,0,0,0,18,0,0,0,0,1
220,0.987968,0.975,0.381086,0.00644396,0.472737,0.715996,0.286365,0,0,0,0,0,0,0,0,31.7308,0,0,0,0,0,9.27613,0,0,0.12881,0,0,0,18,0,0,0,0,1
225,0.987969,0.975,0.382075,0.00646097,0.473705,0.717886,0.285377,0,0,0,0,0,0,0,0,31.7308,0,0,0,0,0,9.27613,0,0,0.12881,0,0,0,18,0,0,0,0,1
230,0.987969,0.975,0.383066,0.00647798,0.474697,0.719776,0.284365,0,0,0,0,0,0,0,0,31.7308,0,0,0,0,0,9.27613,0,0,0.12881,0,0,0,18,0,0,0,0,1
235,0.987978,0.975,0.384058,0.00649499,0.475735,0.721666,0.283329,0,0,0,0,0,0,0,0,31.7308,0,0,0,0,0,9.27613,0,0,0.12881,0,0,0,18,0,0,0,0,1
