state,action,qvalue
0,0,79.4041
0,1,94.6619
0,2,94.0241
1,0,0
1,1,23.8626
1,2,0
2,0,57.9002
2,1,90.9889
2,2,75.8764
3,0,0
3,1,10.4549
3,2,7.08678
epsilon,0.0289577,0
