timestamp,qi,sr,tii,arf,meanRho,netLearning,pThreat,totalOrphans,actionsReallocate,actionsRecluster,actionsDoNothing,cycleS1,cycleS2,anomalies,qDoNothing,qReallocate,qRecluster,suspectsCount,actionsAttackerQuarantine,actionsAttackerDoNothing,qAtkDNHigh,qAtkQuarHigh,qAtkDNLow,qAtkQuarLow,atkEpsilon,smartTransferOk,smartTransferNoDonor,smartRedundancyOk,leadersAlive,leadersDownThisCycle
170,0.991552,0.983333,0.384604,0.00751923,0.218314,0.704927,0.293026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,32,0
175,0.991553,0.983333,0.385867,0.00753871,0.224769,0.706754,0.286463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,32,0
180,0.991552,0.983333,0.387007,0.00755819,0.228946,0.708581,0.282211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,32,0
185,0.991553,0.983333,0.388082,0.00757768,0.231916,0.710407,0.279187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,32,0
190,0.991552,0.983333,0.389117,0.00759716,0.234161,0.712234,0.276898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,32,0
195,0.991552,0.983333,0.390127,0.00761665,0.235942,0.714061,0.275084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,32,0
200,0.991553,0.983333,0.39112,0.00763613,0.237409,0.715887,0.273589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,32,0
205,0.991566,0.983333,0.392101,0.00765562,0.238675,0.717714,0.272316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,32,0
210,0.991552,0.983333,0.393074,0.0076751,0.239754,0.719541,0.271199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,32,0
215,0.991552,0.983333,0.394041,0.00769459,0.24074,0.721367,0.270194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,32,0
220,0.991553,0.983333,0.395004,0.00771407,0.241647,0.723194,0.269271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,32,0
225,0.991552,0.983333,0.395963,0.00773355,0.242494,0.725021,0.268407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,32,0
230,0.991552,0.983333,0.39692,0.00775304,0.2433,0.726847,0.267586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,32,0
235,0.991566,0.983333,0.397876,0.00777252,0.244092,0.728674,0.266798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,32,0
240,0.991552,0.983333,0.39883,0.00779201,0.244823,0.730501,0.266034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,32,0
245,0.991554,0.983333,0.399783,0.00781149,0.245558,0.732327,0.265288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,32,0
250,0.991552,0.983333,0.400735,0.00783098,0.246276,0.734154,0.264556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,32,0
255,0.991566,0.983333,0.401687,0.00785046,0.247003,0.735981,0.263834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,32,0
260,0.991552,0.983333,0.402639,0.00786995,0.247686,0.737807,0.26312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,32,0
265,0.991553,0.983333,0.40359,0.00788943,0.248382,0.739634,0.262412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,32,0
270,0.991552,0.983333,0.40454,0.00790891,0.249073,0.741461,0.261709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,32,0
275,0.991552,0.983333,0.405491,0.0079284,0.249761,0.743287,0.261009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,32,0
