timestamp,qi,sr,tii,arf,meanRho,netLearning,pThreat,totalOrphans,actionsReallocate,actionsRecluster,actionsDoNothing,cycleS1,cycleS2,anomalies,qDoNothing,qReallocate,qRecluster,suspectsCount,actionsAttackerQuarantine,actionsAttackerDoNothing,qAtkDNHigh,qAtkQuarHigh,qAtkDNLow,qAtkQuarLow,atkEpsilon,smartTransferOk,smartTransferNoDonor,smartRedundancyOk,leadersAlive,leadersDownThisCycle,apIncomingFloodTotal,apQuarantinedLeadersCount,forcedReelectionsThisCycle,apAlive
170,0.989567,0.976667,0.367811,0.00601254,0.320862,0.693755,0.317631,0,0,0,0,0,0,0,14.2677,30.6802,33.3331,0,0,0,0,2.26384,0,0,0.0471433,0,0,0,26,0,0,0,0,1
175,0.989565,0.976667,0.368674,0.00602866,0.319341,0.695615,0.319179,0,0,0,0,0,0,0,14.2677,30.6802,33.3331,0,0,0,0,2.26384,0,0,0.0471433,0,0,0,26,0,0,0,0,1
180,0.989566,0.976667,0.369561,0.00604478,0.318391,0.697475,0.320156,0,0,0,0,0,0,0,14.2677,30.6802,33.3331,0,0,0,0,2.26384,0,0,0.0471433,0,0,0,26,0,0,0,0,1
185,0.989566,0.976667,0.370467,0.0060609,0.317834,0.699335,0.32073,0,0,0,0,0,0,0,14.2677,30.6802,33.3331,0,0,0,0,2.26384,0,0,0.0471433,0,0,0,26,0,0,0,0,1
190,0.989565,0.976667,0.371385,0.00607702,0.317581,0.701195,0.320992,0,0,0,0,0,0,0,14.2677,30.6802,33.3331,0,0,0,0,2.26384,0,0,0.0471433,0,0,0,26,0,0,0,0,1
195,0.989565,0.976667,0.372314,0.00609314,0.317567,0.703055,0.32101,0,0,0,0,0,0,0,14.2677,30.6802,33.3331,0,0,0,0,2.26384,0,0,0.0471433,0,0,0,26,0,0,0,0,1
200,0.989565,0.976667,0.373252,0.00610926,0.31774,0.704915,0.320838,0,0,0,0,0,0,0,14.2677,30.6802,33.3331,0,0,0,0,2.26384,0,0,0.0471433,0,0,0,26,0,0,0,0,1
205,0.989577,0.976667,0.374196,0.00612538,0.318076,0.706775,0.320517,0,0,0,0,0,0,0,14.2677,30.6802,33.3331,0,0,0,0,2.26384,0,0,0.0471433,0,0,0,26,0,0,0,0,1
210,0.989567,0.976667,0.375145,0.0061415,0.318489,0.708635,0.32008,0,0,0,0,0,0,0,14.2677,30.6802,33.3331,0,0,0,0,2.26384,0,0,0.0471433,0,0,0,26,0,0,0,0,1
215,0.989565,0.976667,0.376098,0.00615762,0.319006,0.710495,0.319553,0,0,0,0,0,0,0,14.2677,30.6802,33.3331,0,0,0,0,2.26384,0,0,0.0471433,0,0,0,26,0,0,0,0,1
220,0.989566,0.976667,0.377053,0.00617374,0.319596,0.712355,0.318955,0,0,0,0,0,0,0,14.2677,30.6802,33.3331,0,0,0,0,2.26384,0,0,0.0471433,0,0,0,26,0,0,0,0,1
225,0.989565,0.976667,0.378012,0.00618986,0.320239,0.714215,0.318301,0,0,0,0,0,0,0,14.2677,30.6802,33.3331,0,0,0,0,2.26384,0,0,0.0471433,0,0,0,26,0,0,0,0,1
230,0.989565,0.976667,0.378972,0.00620598,0.320925,0.716075,0.317603,0,0,0,0,0,0,0,14.2677,30.6802,33.3331,0,0,0,0,2.26384,0,0,0.0471433,0,0,0,26,0,0,0,0,1
235,0.989568,0.976667,0.379934,0.0062221,0.321649,0.717935,0.31687,0,0,0,0,0,0,0,14.2677,30.6802,33.3331,0,0,0,0,2.26384,0,0,0.0471433,0,0,0,26,0,0,0,0,1
240,0.989566,0.976667,0.380897,0.00623822,0.322392,0.719795,0.316111,0,0,0,0,0,0,0,14.2677,30.6802,33.3331,0,0,0,0,2.26384,0,0,0.0471433,0,0,0,26,0,0,0,0,1
245,0.989565,0.976667,0.381861,0.00625434,0.323159,0.721655,0.31533,0,0,0,0,0,0,0,14.2677,30.6802,33.3331,0,0,0,0,2.26384,0,0,0.0471433,0,0,0,26,0,0,0,0,1
250,0.989565,0.976667,0.382825,0.00627046,0.323943,0.723515,0.314531,0,0,0,0,0,0,0,14.2677,30.6802,33.3331,0,0,0,0,2.26384,0,0,0.0471433,0,0,0,26,0,0,0,0,1
255,0.989566,0.976667,0.38379,0.00628658,0.324743,0.725375,0.313719,0,0,0,0,0,0,0,14.2677,30.6802,33.3331,0,0,0,0,2.26384,0,0,0.0471433,0,0,0,26,0,0,0,0,1
260,0.989565,0.976667,0.384756,0.0063027,0.325551,0.727235,0.312895,0,0,0,0,0,0,0,14.2677,30.6802,33.3331,0,0,0,0,2.26384,0,0,0.0471433,0,0,0,26,0,0,0,0,1
265,0.989565,0.976667,0.385722,0.00631882,0.32637,0.729095,0.312062,0,0,0,0,0,0,0,14.2677,30.6802,33.3331,0,0,0,0,2.26384,0,0,0.0471433,0,0,0,26,0,0,0,0,1
270,0.989579,0.976667,0.386689,0.00633494,0.32722,0.730955,0.311221,0,0,0,0,0,0,0,14.2677,30.6802,33.3331,0,0,0,0,2.26384,0,0,0.0471433,0,0,0,26,0,0,0,0,1
275,0.989565,0.976667,0.387655,0.00635106,0.328029,0.732815,0.310374,0,0,0,0,0,0,0,14.2677,30.6802,33.3331,0,0,0,0,2.26384,0,0,0.0471433,0,0,0,26,0,0,0,0,1
280,0.989565,0.976667,0.388622,0.00636718,0.328867,0.734675,0.309522,0,0,0,0,0,0,0,14.2677,30.6802,33.3331,0,0,0,0,2.26384,0,0,0.0471433,0,0,0,26,0,0,0,0,1
285,0.989566,0.976667,0.389589,0.0063833,0.32971,0.736535,0.308665,0,0,0,0,0,0,0,14.2677,30.6802,33.3331,0,0,0,0,2.26384,0,0,0.0471433,0,0,0,26,0,0,0,0,1
290,0.989565,0.976667,0.390557,0.00639942,0.330556,0.738395,0.307803,0,0,0,0,0,0,0,14.2677,30.6802,33.3331,0,0,0,0,2.26384,0,0,0.0471433,0,0,0,26,0,0,0,0,1
295,0.989565,0.976667,0.391524,0.00641554,0.331406,0.740255,0.306938,0,0,0,0,0,0,0,14.2677,30.6802,33.3331,0,0,0,0,2.26384,0,0,0.0471433,0,0,0,26,0,0,0,0,1
300,0.989565,0.976667,0.392492,0.00643166,0.332259,0.742115,0.30607,0,0,0,0,0,0,0,14.2677,30.6802,33.3331,0,0,0,0,2.26384,0,0,0.0471433,0,0,0,26,0,0,0,0,1
305,0.807429,0.703333,0.287023,0.00644316,0.302448,0.743441,0.300462,77,0,77,0,77,0,0,14.2677,30.6802,33.3331,5,5,0,0,2.26384,0,0,0.045729,0,0,0,21,0,163,5,0,1
310,0.980427,0.96,0.38523,0.00695386,0.338043,0.745056,0.29692,0,0,0,0,0,0,0,14.2677,30.6802,33.3333,0,0,0,0,7.46502,0,0,0.045729,0,0,0,23,0,0,5,0,1
315,0.975116,0.96,0.386176,0.00697103,0.329498,0.746896,0.296238,0,0,0,0,0,0,0,14.2677,30.6802,33.3333,0,0,0,0,7.46502,0,0,0.045729,0,0,0,23,0,0,5,0,1
320,0.971175,0.96,0.387141,0.00698821,0.323997,0.748736,0.295045,0,0,0,0,0,0,0,14.2677,30.6802,33.3333,0,0,0,0,7.46502,0,0,0.045729,0,0,0,23,0,0,5,0,1
325,0.968902,0.96,0.3881,0.00700538,0.321428,0.750576,0.294038,0,0,0,0,0,0,0,14.2677,30.6802,33.3333,0,0,0,0,7.46502,0,0,0.045729,0,0,0,23,0,0,5,0,1
330,0.972686,0.96,0.389058,0.00702255,0.327718,0.752416,0.293039,0,0,0,0,0,0,0,14.2677,30.6802,33.3333,0,0,0,0,7.46502,0,0,0.045729,0,0,0,23,0,0,5,0,1
335,0.971174,0.96,0.390015,0.00703973,0.326289,0.754256,0.292072,0,0,0,0,0,0,0,14.2677,30.6802,33.3333,0,0,0,0,7.46502,0,0,0.045729,0,0,0,23,0,0,5,0,1
340,0.968149,0.96,0.390972,0.0070569,0.322008,0.756096,0.291119,0,0,0,0,0,0,0,14.2677,30.6802,33.3333,0,0,0,0,7.46502,0,0,0.045729,0,0,0,23,0,0,5,0,1
345,0.964356,0.96,0.391928,0.00707407,0.31628,0.757936,0.290177,0,0,0,0,0,0,0,14.2677,30.6802,33.3333,0,0,0,0,7.46502,0,0,0.045729,0,0,0,23,0,0,5,0,1
350,0.963803,0.96,0.392884,0.00709125,0.315397,0.759776,0.289242,0,0,0,0,0,0,0,14.2677,30.6802,33.3333,0,0,0,0,7.46502,0,0,0.045729,0,0,0,23,0,0,5,0,1
355,0.960573,0.96,0.39384,0.00710842,0.310376,0.761616,0.288311,0,0,0,0,0,0,0,14.2677,30.6802,33.3333,0,0,0,0,7.46502,0,0,0.045729,0,0,0,23,0,0,5,0,1
360,0.956787,0.96,0.394795,0.00712559,0.304312,0.763456,0.287382,0,0,0,0,0,0,0,14.2677,30.6802,33.3333,0,0,0,0,7.46502,0,0,0.045729,0,0,0,23,0,0,5,0,1
365,0.956024,0.96,0.395751,0.00714277,0.304084,0.765296,0.286454,0,0,0,0,0,0,0,14.2677,30.6802,33.3333,0,0,0,0,7.46502,0,0,0.045729,0,0,0,23,0,0,5,0,1
370,0.954504,0.96,0.396706,0.00715994,0.301957,0.767136,0.285527,0,0,0,0,0,0,0,14.2677,30.6802,33.3333,0,0,0,0,7.46502,0,0,0.045729,0,0,0,23,0,0,5,0,1
375,0.949207,0.96,0.397662,0.00717711,0.293386,0.768976,0.2846,0,0,0,0,0,0,0,14.2677,30.6802,33.3333,0,0,0,0,7.46502,0,0,0.045729,0,0,0,23,0,0,5,0,1
380,0.958544,0.96,0.398617,0.00719429,0.310265,0.770816,0.283672,0,0,0,0,0,0,0,14.2677,30.6802,33.3333,0,0,0,0,7.46502,0,0,0.045729,0,0,0,23,0,0,5,0,1
385,0.956425,0.96,0.399573,0.00721146,0.307021,0.772656,0.282743,0,0,0,0,0,0,0,14.2677,30.6802,33.3333,0,0,0,0,7.46502,0,0,0.045729,0,0,0,23,0,0,5,0,1
390,0.956188,0.96,0.400529,0.00722863,0.307719,0.774496,0.281814,0,0,0,0,0,0,0,14.2677,30.6802,33.3333,0,0,0,0,7.46502,0,0,0.045729,0,0,0,23,0,0,5,0,1
395,0.95391,0.96,0.401484,0.00724581,0.304003,0.776336,0.280884,0,0,0,0,0,0,0,14.2677,30.6802,33.3333,0,0,0,0,7.46502,0,0,0.045729,0,0,0,23,0,0,5,0,1
400,0.948604,0.96,0.40244,0.00726298,0.294952,0.778176,0.279953,0,0,0,0,0,0,0,14.2677,30.6802,33.3333,0,0,0,0,7.46502,0,0,0.045729,0,0,0,23,0,0,5,0,1
405,0.946332,0.96,0.403396,0.00728015,0.291054,0.780016,0.279021,0,0,0,0,0,0,0,14.2677,30.6802,33.3333,0,0,0,0,7.46502,0,0,0.045729,0,0,0,23,0,0,5,0,1
410,0.949366,0.96,0.404351,0.00729733,0.29781,0.781856,0.278088,0,0,0,0,0,0,0,14.2677,30.6802,33.3333,0,0,0,0,7.46502,0,0,0.045729,0,0,0,23,0,0,5,0,1
415,0.944662,0.96,0.405307,0.0073145,0.288564,0.783696,0.277154,0,0,0,0,0,0,0,14.2677,30.6802,33.3333,0,0,0,0,7.46502,0,0,0.045729,0,0,0,23,0,0,5,0,1
420,0.943902,0.96,0.406263,0.00733167,0.285093,0.785536,0.276219,0,0,0,0,0,0,0,14.2677,30.6802,33.3333,0,0,0,0,7.46502,0,0,0.045729,0,0,0,23,0,0,5,0,1
425,0.940877,0.96,0.407219,0.00734885,0.276913,0.787376,0.275284,0,0,0,0,0,0,0,14.2677,30.6802,33.3333,0,0,0,0,7.46502,0,0,0.045729,0,0,0,23,0,0,5,0,1
